year_,state_,state_po,candidate,party_detailed,candidate_vote
1976,ALABAMA,AL,JIMMY CARTER,DEMOCRAT,659170
1976,ALABAMA,AL,GERALD FORD,REPUBLICAN,504070
1976,ALABAMA,AL,LESTER MADDOX,AMERICAN INDEPENDENT PARTY,9198
1976,ALABAMA,AL,BENJAMIN BEN BUBAR,PROHIBITION,6669
1976,ALABAMA,AL,GUS HALL,COMMUNIST PARTY USE,1954
1976,ALABAMA,AL,ROGER MACBRIDE,LIBERTARIAN,1481
1976,ALABAMA,AL,,,308
1976,ALASKA,AK,GERALD FORD,REPUBLICAN,71555
1976,ALASKA,AK,JIMMY CARTER,DEMOCRAT,44058
1976,ALASKA,AK,ROGER MACBRIDE,LIBERTARIAN,6785
1976,ALASKA,AK,,,1176
1976,ARIZONA,AZ,GERALD FORD,REPUBLICAN,418642
1976,ARIZONA,AZ,JIMMY CARTER,DEMOCRAT,295602
1976,ARIZONA,AZ,EUGENE GENE MCCARTHY,INDEPENDENT,19229
1976,ARIZONA,AZ,ROGER MACBRIDE,LIBERTARIAN,7647
1976,ARIZONA,AZ,PETER CAMEJO,SOCIALIST WORKERS,928
1976,ARIZONA,AZ,THOMAS J. ANDERSON,AMERICAN,564
1976,ARIZONA,AZ,LESTER MADDOX,AMERICAN INDEPENDENT PARTY,85
1976,ARIZONA,AZ,,,22
1976,ARKANSAS,AR,JIMMY CARTER,DEMOCRAT,498604
1976,ARKANSAS,AR,GERALD FORD,REPUBLICAN,267903
1976,ARKANSAS,AR,,INDEPENDENT,639
1976,ARKANSAS,AR,LESTER MADDOX,AMERICAN INDEPENDENT PARTY,389
1976,CALIFORNIA,CA,GERALD FORD,REPUBLICAN,3882244
1976,CALIFORNIA,CA,JIMMY CARTER,DEMOCRAT,3742284
1976,CALIFORNIA,CA,ROGER MACBRIDE,INDEPENDENT,56388
1976,CALIFORNIA,CA,LESTER MADDOX,AMERICAN INDEPENDENT PARTY,51098
1976,CALIFORNIA,CA,MARGARET WRIGHT,PEACE & FREEDOM,41731
1976,CALIFORNIA,CA,PETER CAMEJO,INDEPENDENT,17259
1976,CALIFORNIA,CA,GUS HALL,INDEPENDENT,12766
1976,COLORADO,CO,GERALD FORD,REPUBLICAN,584278
1976,COLORADO,CO,JIMMY CARTER,DEMOCRAT,460801
1976,COLORADO,CO,EUGENE GENE MCCARTHY,INDEPENDENT,26047
1976,COLORADO,CO,ROGER MACBRIDE,LIBERTARIAN,5338
1976,COLORADO,CO,BENJAMIN BEN BUBAR,PROHIBITION,2886
1976,COLORADO,CO,PETER CAMEJO,SOCIALIST WORKERS,1122
1976,COLORADO,CO,LYNDON LAROUCHE JR.,U.S. LABOR,565
1976,COLORADO,CO,GUS HALL,COMMUNIST PARTY USE,403
1976,CONNECTICUT,CT,GERALD FORD,REPUBLICAN,719261
1976,CONNECTICUT,CT,JIMMY CARTER,DEMOCRAT,647895
1976,CONNECTICUT,CT,SCATTERING,,10309
1976,CONNECTICUT,CT,LESTER MADDOX,AMERICAN INDEPENDENT PARTY,7101
1976,CONNECTICUT,CT,LYNDON LAROUCHE JR.,U.S. LABOR,1789
1976,DELAWARE,DE,JIMMY CARTER,DEMOCRAT,122461
1976,DELAWARE,DE,GERALD FORD,REPUBLICAN,109780
1976,DELAWARE,DE,,NO PARTY AFFILIATION,2432
1976,DELAWARE,DE,THOMAS J. ANDERSON,AMERICAN,645
1976,DELAWARE,DE,LYNDON LAROUCHE JR.,U.S. LABOR,135
1976,DELAWARE,DE,BENJAMIN BEN BUBAR,PROHIBITION,103
1976,DELAWARE,DE,,SOCIALIST LABOR,86
1976,DISTRICT OF COLUMBIA,DC,JIMMY CARTER,DEMOCRAT,137818
1976,DISTRICT OF COLUMBIA,DC,GERALD FORD,REPUBLICAN,27873
1976,DISTRICT OF COLUMBIA,DC,OTHER,,1656
1976,DISTRICT OF COLUMBIA,DC,,INDEPENDENT,1195
1976,DISTRICT OF COLUMBIA,DC,,,288
1976,FLORIDA,FL,JIMMY CARTER,DEMOCRAT,1636000
1976,FLORIDA,FL,GERALD FORD,REPUBLICAN,1469531
1976,FLORIDA,FL,EUGENE GENE MCCARTHY,INDEPENDENT,23643
1976,FLORIDA,FL,THOMAS J. ANDERSON,AMERICAN,21325
1976,FLORIDA,FL,,,132
1976,GEORGIA,GA,JIMMY CARTER,DEMOCRAT,979409
1976,GEORGIA,GA,GERALD FORD,REPUBLICAN,483743
1976,HAWAII,HI,JIMMY CARTER,DEMOCRAT,147375
1976,HAWAII,HI,GERALD FORD,REPUBLICAN,140003
1976,HAWAII,HI,ROGER MACBRIDE,LIBERTARIAN,3923
1976,IDAHO,ID,GERALD FORD,REPUBLICAN,204151
1976,IDAHO,ID,JIMMY CARTER,DEMOCRAT,126549
1976,IDAHO,ID,LESTER MADDOX,AMERICAN,5935
1976,IDAHO,ID,ROGER MACBRIDE,LIBERTARIAN,3558
1976,IDAHO,ID,LYNDON LAROUCHE JR.,U.S. LABOR,739
1976,ILLINOIS,IL,GERALD FORD,REPUBLICAN,2364269
1976,ILLINOIS,IL,JIMMY CARTER,DEMOCRAT,2271295
1976,ILLINOIS,IL,EUGENE GENE MCCARTHY,INDEPENDENT,55939
1976,ILLINOIS,IL,GUS HALL,COMMUNIST PARTY USE,9250
1976,ILLINOIS,IL,ROGER MACBRIDE,LIBERTARIAN,8057
1976,ILLINOIS,IL,,,4417
1976,ILLINOIS,IL,PETER CAMEJO,SOCIALIST WORKERS,3615
1976,ILLINOIS,IL,LEVIN JULIUS JULES,SOCIALIST LABOR,2422
1976,ILLINOIS,IL,LYNDON LAROUCHE JR.,U.S. LABOR,2018
1976,INDIANA,IN,GERALD FORD,REPUBLICAN,1183958
1976,INDIANA,IN,JIMMY CARTER,DEMOCRAT,1014714
1976,INDIANA,IN,THOMAS J. ANDERSON,AMERICAN,14048
1976,INDIANA,IN,PETER CAMEJO,SOCIALIST WORKERS,5695
1976,INDIANA,IN,LYNDON LAROUCHE JR.,U.S. LABOR,1947
1976,IOWA,IA,GERALD FORD,REPUBLICAN,632864
1976,IOWA,IA,JIMMY CARTER,DEMOCRAT,619931
1976,IOWA,IA,EUGENE GENE MCCARTHY,INDEPENDENT,20057
1976,IOWA,IA,THOMAS J. ANDERSON,AMERICAN PARTY OF IOWA,3041
1976,IOWA,IA,ROGER MACBRIDE,LIBERTARIAN,1454
1976,IOWA,IA,GUS HALL,COMMUNIST PARTY USE,551
1976,IOWA,IA,SCATTERING,,509
1976,IOWA,IA,PETER CAMEJO,SOCIALIST WORKERS,262
1976,IOWA,IA,LYNDON LAROUCHE JR.,U.S. LABOR,241
1976,IOWA,IA,FRANK ZEIDLER,SOCIALIST U.S.A.,233
1976,IOWA,IA,LEVIN JULIUS JULES,SOCIALIST LABOR,160
1976,KANSAS,KS,GERALD FORD,REPUBLICAN,502752
1976,KANSAS,KS,JIMMY CARTER,DEMOCRAT,430421
1976,KANSAS,KS,EUGENE GENE MCCARTHY,INDEPENDENT,13185
1976,KANSAS,KS,THOMAS J. ANDERSON,AMERICAN,4724
1976,KANSAS,KS,ROGER MACBRIDE,INDEPENDENT,3242
1976,KANSAS,KS,LESTER MADDOX,CONSERVATIVE,2118
1976,KANSAS,KS,BENJAMIN BEN BUBAR,PROHIBITION,1403
1976,KENTUCKY,KY,JIMMY CARTER,DEMOCRAT,615717
1976,KENTUCKY,KY,GERALD FORD,REPUBLICAN,531852
1976,KENTUCKY,KY,THOMAS J. ANDERSON,AMERICAN,8308
1976,KENTUCKY,KY,EUGENE GENE MCCARTHY,INDEPENDENT,6837
1976,KENTUCKY,KY,LESTER MADDOX,AMERICAN INDEPENDENT PARTY,2328
1976,KENTUCKY,KY,ROGER MACBRIDE,LIBERTARIAN,814
1976,KENTUCKY,KY,LYNDON LAROUCHE JR.,U.S. LABOR,510
1976,KENTUCKY,KY,GUS HALL,COMMUNIST PARTY USE,426
1976,KENTUCKY,KY,PETER CAMEJO,SOCIALIST WORKERS,350
1976,LOUISIANA,LA,JIMMY CARTER,DEMOCRAT,661365
1976,LOUISIANA,LA,GERALD FORD,REPUBLICAN,587446
1976,LOUISIANA,LA,LESTER MADDOX,AMERICAN INDEPENDENT PARTY,10058
1976,LOUISIANA,LA,GUS HALL,COMMUNIST PARTY USE,7417
1976,LOUISIANA,LA,EUGENE GENE MCCARTHY,INDEPENDENT,6490
1976,LOUISIANA,LA,ROGER MACBRIDE,LIBERTARIAN,3134
1976,LOUISIANA,LA,PETER CAMEJO,SOCIALIST WORKERS,1473
1976,MAINE,ME,GERALD FORD,REPUBLICAN,236320
1976,MAINE,ME,JIMMY CARTER,DEMOCRAT,232279
1976,MAINE,ME,EUGENE GENE MCCARTHY,INDEPENDENT,10874
1976,MAINE,ME,BENJAMIN BEN BUBAR,PROHIBITION,3495
1976,MARYLAND,MD,JIMMY CARTER,DEMOCRAT,759612
1976,MARYLAND,MD,GERALD FORD,REPUBLICAN,672661
1976,MASSACHUSETTS,MA,JIMMY CARTER,DEMOCRAT,1429475
1976,MASSACHUSETTS,MA,GERALD FORD,REPUBLICAN,1030276
1976,MASSACHUSETTS,MA,EUGENE GENE MCCARTHY,INDEPENDENT,65637
1976,MASSACHUSETTS,MA,PETER CAMEJO,SOCIALIST WORKERS,8138
1976,MASSACHUSETTS,MA,THOMAS J. ANDERSON,AMERICAN,7555
1976,MASSACHUSETTS,MA,LYNDON LAROUCHE JR.,U.S. LABOR,4922
1976,MASSACHUSETTS,MA,SCATTERING,,1401
1976,MASSACHUSETTS,MA,ROGER MACBRIDE,LIBERTARIAN,135
1976,MASSACHUSETTS,MA,LEVIN JULIUS JULES,SOCIALIST LABOR,19
1976,MICHIGAN,MI,GERALD FORD,REPUBLICAN,1893742
1976,MICHIGAN,MI,JIMMY CARTER,DEMOCRAT,1696714
1976,MICHIGAN,MI,EUGENE GENE MCCARTHY,INDEPENDENT,47905
1976,MICHIGAN,MI,ROGER MACBRIDE,LIBERTARIAN,5407
1976,MICHIGAN,MI,MARGARET WRIGHT,HUMAN RIGHTS,3504
1976,MICHIGAN,MI,PETER CAMEJO,SOCIALIST WORKERS,1804
1976,MICHIGAN,MI,LYNDON LAROUCHE JR.,U.S. LABOR,1366
1976,MICHIGAN,MI,LEVIN JULIUS JULES,SOCIALIST LABOR,1148
1976,MINNESOTA,MN,JIMMY CARTER,DEMOCRAT,1070440
1976,MINNESOTA,MN,GERALD FORD,REPUBLICAN,819395
1976,MINNESOTA,MN,EUGENE GENE MCCARTHY,MCCARTHY '76,35490
1976,MINNESOTA,MN,THOMAS J. ANDERSON,AMERICAN,13592
1976,MINNESOTA,MN,PETER CAMEJO,SOCIALIST WORKERS,4149
1976,MINNESOTA,MN,ROGER MACBRIDE,LIBERTARIAN,3529
1976,MINNESOTA,MN,GUS HALL,COMMUNIST PARTY USE,1092
1976,MINNESOTA,MN,MARGARET WRIGHT,PEOPLE'S,635
1976,MINNESOTA,MN,LYNDON LAROUCHE JR.,INTERNATIONAL DEVELOPMENT BANK,543
1976,MINNESOTA,MN,LEVIN JULIUS JULES,INDUSTRIAL GOVERNMENT PARTY,370
1976,MINNESOTA,MN,FRANK ZEIDLER,SOCIALIST,354
1976,MINNESOTA,MN,,,342
1976,MISSISSIPPI,MS,JIMMY CARTER,DEMOCRAT,381329
1976,MISSISSIPPI,MS,GERALD FORD,REPUBLICAN,366846
1976,MISSISSIPPI,MS,THOMAS J. ANDERSON,AMERICAN,6678
1976,MISSISSIPPI,MS,EUGENE GENE MCCARTHY,INDEPENDENT,4074
1976,MISSISSIPPI,MS,LESTER MADDOX,AMERICAN INDEPENDENT PARTY,4049
1976,MISSISSIPPI,MS,PETER CAMEJO,SOCIALIST WORKERS,2805
1976,MISSISSIPPI,MS,ROGER MACBRIDE,LIBERTARIAN,2609
1976,MISSOURI,MO,JIMMY CARTER,DEMOCRAT,998387
1976,MISSOURI,MO,GERALD FORD,REPUBLICAN,927443
1976,MISSOURI,MO,EUGENE GENE MCCARTHY,INDEPENDENT,24029
1976,MISSOURI,MO,OTHER,,3741
1976,MONTANA,MT,GERALD FORD,REPUBLICAN,173703
1976,MONTANA,MT,JIMMY CARTER,DEMOCRAT,149259
1976,MONTANA,MT,THOMAS J. ANDERSON,AMERICAN,5772
1976,NEBRASKA,NE,GERALD FORD,REPUBLICAN,359219
1976,NEBRASKA,NE,JIMMY CARTER,DEMOCRAT,233293
1976,NEBRASKA,NE,EUGENE GENE MCCARTHY,INDEPENDENT,9383
1976,NEBRASKA,NE,LESTER MADDOX,AMERICAN INDEPENDENT PARTY,3378
1976,NEBRASKA,NE,ROGER MACBRIDE,LIBERTARIAN,1476
1976,NEVADA,NV,GERALD FORD,REPUBLICAN,101273
1976,NEVADA,NV,JIMMY CARTER,DEMOCRAT,92479
1976,NEVADA,NV,OTHER,,5108
1976,NEVADA,NV,ROGER MACBRIDE,LIBERTARIAN,1519
1976,NEVADA,NV,LESTER MADDOX,AMERICAN INDEPENDENT PARTY,1497
1976,NEW HAMPSHIRE,NH,GERALD FORD,REPUBLICAN,185935
1976,NEW HAMPSHIRE,NH,JIMMY CARTER,DEMOCRAT,147645
1976,NEW HAMPSHIRE,NH,EUGENE GENE MCCARTHY,INDEPENDENT,4095
1976,NEW HAMPSHIRE,NH,ROGER MACBRIDE,LIBERTARIAN,936
1976,NEW HAMPSHIRE,NH,SCATTERING,,603
1976,NEW HAMPSHIRE,NH,LYNDON LAROUCHE JR.,U.S. LABOR,186
1976,NEW HAMPSHIRE,NH,PETER CAMEJO,SOCIALIST WORKERS,161
1976,NEW HAMPSHIRE,NH,LEVIN JULIUS JULES,SOCIALIST LABOR,66
1976,NEW JERSEY,NJ,GERALD FORD,REPUBLICAN,1509688
1976,NEW JERSEY,NJ,JIMMY CARTER,DEMOCRAT,1444653
1976,NEW JERSEY,NJ,EUGENE GENE MCCARTHY,INDEPENDENT,32717
1976,NEW JERSEY,NJ,ROGER MACBRIDE,LIBERTARIAN,9449
1976,NEW JERSEY,NJ,LESTER MADDOX,AMERICAN INDEPENDENT PARTY,7716
1976,NEW JERSEY,NJ,LEVIN JULIUS JULES,SOCIALIST LABOR,3686
1976,NEW JERSEY,NJ,GUS HALL,COMMUNIST PARTY USE,1662
1976,NEW JERSEY,NJ,LYNDON LAROUCHE JR.,U.S. LABOR,1650
1976,NEW JERSEY,NJ,PETER CAMEJO,SOCIALIST WORKERS,1184
1976,NEW JERSEY,NJ,MARGARET WRIGHT,PEACE & FREEDOM,1044
1976,NEW JERSEY,NJ,BENJAMIN BEN BUBAR,PROHIBITION,554
1976,NEW JERSEY,NJ,FRANK ZEIDLER,SOCIALIST,469
1976,NEW MEXICO,NM,GERALD FORD,REPUBLICAN,211419
1976,NEW MEXICO,NM,JIMMY CARTER,DEMOCRAT,201148
1976,NEW MEXICO,NM,PETER CAMEJO,SOCIALIST WORKERS,2462
1976,NEW MEXICO,NM,ROGER MACBRIDE,LIBERTARIAN,1110
1976,NEW MEXICO,NM,FRANK ZEIDLER,SOCIALIST,240
1976,NEW MEXICO,NM,BENJAMIN BEN BUBAR,PROHIBITION,211
1976,NEW YORK,NY,JIMMY CARTER,DEMOCRAT,3244165
1976,NEW YORK,NY,GERALD FORD,REPUBLICAN,2825913
1976,NEW YORK,NY,GERALD FORD,CONSERVATIVE,274878
1976,NEW YORK,NY,JIMMY CARTER,LIBERAL PARTY,145393
1976,NEW YORK,NY,OTHER,,143037
1976,NEW YORK,NY,ROGER MACBRIDE,FREE LIBERTARIAN,12197
1976,NEW YORK,NY,GUS HALL,COMMUNIST PARTY USE,10270
1976,NEW YORK,NY,PETER CAMEJO,SOCIALIST WORKERS,6996
1976,NEW YORK,NY,LYNDON LAROUCHE JR.,LABOR,5413
1976,NORTH CAROLINA,NC,JIMMY CARTER,DEMOCRAT,927365
1976,NORTH CAROLINA,NC,GERALD FORD,REPUBLICAN,741960
1976,NORTH CAROLINA,NC,THOMAS J. ANDERSON,AMERICAN,5607
1976,NORTH CAROLINA,NC,ROGER MACBRIDE,LIBERTARIAN,2219
1976,NORTH CAROLINA,NC,LYNDON LAROUCHE JR.,U.S. LABOR,755
1976,NORTH DAKOTA,ND,GERALD FORD,REPUBLICAN,153684
1976,NORTH DAKOTA,ND,JIMMY CARTER,DEMOCRAT,136078
1976,NORTH DAKOTA,ND,THOMAS J. ANDERSON,AMERICAN,3698
1976,NORTH DAKOTA,ND,EUGENE GENE MCCARTHY,INDEPENDENT,2952
1976,NORTH DAKOTA,ND,LESTER MADDOX,AMERICAN INDEPENDENT PARTY,269
1976,NORTH DAKOTA,ND,ROGER MACBRIDE,LIBERTARIAN,256
1976,NORTH DAKOTA,ND,LYNDON LAROUCHE JR.,U.S. LABOR,142
1976,NORTH DAKOTA,ND,GUS HALL,COMMUNIST PARTY USE,85
1976,NORTH DAKOTA,ND,BENJAMIN BEN BUBAR,PROHIBITION,63
1976,NORTH DAKOTA,ND,PETER CAMEJO,SOCIALIST WORKERS,43
1976,NORTH DAKOTA,ND,FRANK ZEIDLER,SOCIALIST,38
1976,OHIO,OH,JIMMY CARTER,DEMOCRAT,2009959
1976,OHIO,OH,GERALD FORD,REPUBLICAN,2000626
1976,OHIO,OH,EUGENE GENE MCCARTHY,INDEPENDENT,58267
1976,OHIO,OH,LESTER MADDOX,AMERICAN INDEPENDENT PARTY,15508
1976,OHIO,OH,ROGER MACBRIDE,LIBERTARIAN,8952
1976,OHIO,OH,GUS HALL,COMMUNIST PARTY USE,7817
1976,OHIO,OH,PETER CAMEJO,SOCIALIST WORKERS,4833
1976,OHIO,OH,LYNDON LAROUCHE JR.,U.S. LABOR,4364
1976,OHIO,OH,LEVIN JULIUS JULES,SOCIALIST LABOR,68
1976,OHIO,OH,BENJAMIN BEN BUBAR,PROHIBITION,62
1976,OKLAHOMA,OK,GERALD FORD,REPUBLICAN,545708
1976,OKLAHOMA,OK,JIMMY CARTER,DEMOCRAT,532442
1976,OKLAHOMA,OK,EUGENE GENE MCCARTHY,INDEPENDENT,14101
1976,OREGON,OR,GERALD FORD,REPUBLICAN,492120
1976,OREGON,OR,JIMMY CARTER,DEMOCRAT,490407
1976,OREGON,OR,EUGENE GENE MCCARTHY,INDEPENDENT,40207
1976,OREGON,OR,,,6107
1976,OREGON,OR,THOMAS J. ANDERSON,AMERICAN,1035
1976,PENNSYLVANIA,PA,JIMMY CARTER,DEMOCRAT,2328677
1976,PENNSYLVANIA,PA,GERALD FORD,REPUBLICAN,2205604
1976,PENNSYLVANIA,PA,EUGENE GENE MCCARTHY,MCCARTHY '76,50584
1976,PENNSYLVANIA,PA,LESTER MADDOX,CONSTITUTION PARTY,25344
1976,PENNSYLVANIA,PA,PETER CAMEJO,SOCIALIST WORKERS,3009
1976,PENNSYLVANIA,PA,OTHER,,2934
1976,PENNSYLVANIA,PA,LYNDON LAROUCHE JR.,U.S. LABOR,2744
1976,PENNSYLVANIA,PA,GUS HALL,COMMUNIST PARTY USE,1891
1976,RHODE ISLAND,RI,JIMMY CARTER,DEMOCRAT,227636
1976,RHODE ISLAND,RI,GERALD FORD,REPUBLICAN,181249
1976,RHODE ISLAND,RI,ROGER MACBRIDE,LIBERTARIAN,715
1976,RHODE ISLAND,RI,PETER CAMEJO,SOCIALIST WORKERS,462
1976,RHODE ISLAND,RI,GUS HALL,COMMUNIST PARTY USE,334
1976,RHODE ISLAND,RI,LEVIN JULIUS JULES,SOCIALIST LABOR,188
1976,SOUTH CAROLINA,SC,JIMMY CARTER,DEMOCRAT,450807
1976,SOUTH CAROLINA,SC,GERALD FORD,REPUBLICAN,346149
1976,SOUTH CAROLINA,SC,THOMAS J. ANDERSON,AMERICAN,2996
1976,SOUTH CAROLINA,SC,LESTER MADDOX,AMERICAN INDEPENDENT PARTY,1950
1976,SOUTH CAROLINA,SC,,,681
1976,SOUTH DAKOTA,SD,GERALD FORD,REPUBLICAN,151505
1976,SOUTH DAKOTA,SD,JIMMY CARTER,DEMOCRAT,147068
1976,SOUTH DAKOTA,SD,ROGER MACBRIDE,LIBERTARIAN,1619
1976,SOUTH DAKOTA,SD,GUS HALL,COMMUNIST PARTY USE,318
1976,SOUTH DAKOTA,SD,PETER CAMEJO,SOCIALIST WORKERS,168
1976,TENNESSEE,TN,JIMMY CARTER,DEMOCRAT,825879
1976,TENNESSEE,TN,GERALD FORD,REPUBLICAN,633969
1976,TENNESSEE,TN,THOMAS J. ANDERSON,INDEPENDENT,5769
1976,TENNESSEE,TN,EUGENE GENE MCCARTHY,INDEPENDENT,5004
1976,TENNESSEE,TN,LESTER MADDOX,INDEPENDENT,2303
1976,TENNESSEE,TN,ROGER MACBRIDE,INDEPENDENT,1375
1976,TENNESSEE,TN,GUS HALL,INDEPENDENT,547
1976,TENNESSEE,TN,LYNDON LAROUCHE JR.,INDEPENDENT,512
1976,TENNESSEE,TN,BENJAMIN BEN BUBAR,INDEPENDENT,442
1976,TENNESSEE,TN,,INDEPENDENT,316
1976,TENNESSEE,TN,,,230
1976,TEXAS,TX,JIMMY CARTER,DEMOCRAT,2082319
1976,TEXAS,TX,GERALD FORD,REPUBLICAN,1953300
1976,TEXAS,TX,EUGENE GENE MCCARTHY,INDEPENDENT,20118
1976,TEXAS,TX,THOMAS J. ANDERSON,AMERICAN,11442
1976,TEXAS,TX,,,2982
1976,TEXAS,TX,PETER CAMEJO,SOCIALIST WORKERS,1723
1976,UTAH,UT,GERALD FORD,REPUBLICAN,337908
1976,UTAH,UT,JIMMY CARTER,DEMOCRAT,182110
1976,UTAH,UT,THOMAS J. ANDERSON,AMERICAN,13304
1976,UTAH,UT,EUGENE GENE MCCARTHY,INDEPENDENT,3907
1976,UTAH,UT,ROGER MACBRIDE,LIBERAL PARTY,2438
1976,UTAH,UT,LESTER MADDOX,CONCERNED CITIZENS,1162
1976,UTAH,UT,PETER CAMEJO,INDEPENDENT,268
1976,UTAH,UT,GUS HALL,INDEPENDENT,121
1976,VERMONT,VT,GERALD FORD,REPUBLICAN,100387
1976,VERMONT,VT,JIMMY CARTER,DEMOCRAT,77798
1976,VERMONT,VT,EUGENE GENE MCCARTHY,INDEPENDENT,4001
1976,VERMONT,VT,OTHER,,1090
1976,VERMONT,VT,PETER CAMEJO,SOCIALIST WORKERS,430
1976,VERMONT,VT,LYNDON LAROUCHE JR.,U.S. LABOR,196
1976,VIRGINIA,VA,GERALD FORD,REPUBLICAN,836554
1976,VIRGINIA,VA,JIMMY CARTER,DEMOCRAT,813896
1976,VIRGINIA,VA,PETER CAMEJO,SOCIALIST WORKERS,17802
1976,VIRGINIA,VA,THOMAS J. ANDERSON,AMERICAN,16686
1976,VIRGINIA,VA,LYNDON LAROUCHE JR.,U.S. LABOR,7508
1976,VIRGINIA,VA,ROGER MACBRIDE,LIBERTARIAN,4648
1976,WASHINGTON,WA,GERALD FORD,REPUBLICAN,777732
1976,WASHINGTON,WA,JIMMY CARTER,DEMOCRAT,717323
1976,WASHINGTON,WA,EUGENE GENE MCCARTHY,INDEPENDENT,36986
1976,WASHINGTON,WA,LESTER MADDOX,AMERICAN INDEPENDENT PARTY,8585
1976,WASHINGTON,WA,OTHER,,5482
1976,WASHINGTON,WA,ROGER MACBRIDE,LIBERTARIAN,5042
1976,WASHINGTON,WA,THOMAS J. ANDERSON,CONSTITUTION PARTY,1046
1976,WASHINGTON,WA,PETER CAMEJO,SOCIALIST WORKERS,905
1976,WASHINGTON,WA,LYNDON LAROUCHE JR.,U.S. LABOR,903
1976,WASHINGTON,WA,GUS HALL,COMMUNIST PARTY USE,817
1976,WASHINGTON,WA,LEVIN JULIUS JULES,SOCIALIST LABOR,713
1976,WEST VIRGINIA,WV,JIMMY CARTER,DEMOCRAT,435864
1976,WEST VIRGINIA,WV,GERALD FORD,REPUBLICAN,314726
1976,WISCONSIN,WI,JIMMY CARTER,DEMOCRAT,1040232
1976,WISCONSIN,WI,GERALD FORD,REPUBLICAN,1004987
1976,WISCONSIN,WI,EUGENE GENE MCCARTHY,INDEPENDENT,34943
1976,WISCONSIN,WI,LESTER MADDOX,AMERICAN INDEPENDENT PARTY,8552
1976,WISCONSIN,WI,FRANK ZEIDLER,SOCIALIST,4298
1976,WISCONSIN,WI,ROGER MACBRIDE,LIBERTARIAN,3814
1976,WISCONSIN,WI,OTHER,,2430
1976,WISCONSIN,WI,PETER CAMEJO,SOCIALIST WORKERS,1691
1976,WISCONSIN,WI,LEVIN JULIUS JULES,SOCIALIST LABOR,389
1976,WYOMING,WY,GERALD FORD,REPUBLICAN,92717
1976,WYOMING,WY,JIMMY CARTER,DEMOCRAT,62239
1976,WYOMING,WY,,,1387
1980,ALABAMA,AL,RONALD REAGAN,REPUBLICAN,654192
1980,ALABAMA,AL,JIMMY CARTER,DEMOCRAT,636730
1980,ALABAMA,AL,JOHN B. ANDERSON,INDEPENDENT,16481
1980,ALABAMA,AL,JOHN RARICK,CONSERVATIVE,15010
1980,ALABAMA,AL,EDWARD ED CLARK,LIBERTARIAN,13318
1980,ALABAMA,AL,BENJAMIN BEN BUBAR,STATESMAN,1743
1980,ALABAMA,AL,GUS HALL,COMMUNIST PARTY USE,1629
1980,ALABAMA,AL,CLIFTON DEBERRY,SOCIALIST WORKERS,1303
1980,ALABAMA,AL,DAVID MCREYNOLDS,SOCIALIST,1006
1980,ALABAMA,AL,BARRY COMMONER,CITIZENS,517
1980,ALASKA,AK,RONALD REAGAN,REPUBLICAN,86112
1980,ALASKA,AK,JIMMY CARTER,DEMOCRAT,41842
1980,ALASKA,AK,EDWARD ED CLARK,LIBERTARIAN,18479
1980,ALASKA,AK,JOHN B. ANDERSON,INDEPENDENT,11155
1980,ALASKA,AK,,,857
1980,ARIZONA,AZ,RONALD REAGAN,REPUBLICAN,529688
1980,ARIZONA,AZ,JIMMY CARTER,DEMOCRAT,246843
1980,ARIZONA,AZ,JOHN B. ANDERSON,INDEPENDENT,76952
1980,ARIZONA,AZ,EDWARD ED CLARK,LIBERTARIAN,18784
1980,ARIZONA,AZ,CLIFTON DEBERRY,SOCIALIST WORKERS,1100
1980,ARIZONA,AZ,BARRY COMMONER,CITIZENS,551
1980,ARIZONA,AZ,GUS HALL,COMMUNIST PARTY USE,25
1980,ARIZONA,AZ,DEIRDRE GRISWOLD,WORKERS WORLD,2
1980,ARKANSAS,AR,RONALD REAGAN,REPUBLICAN,403164
1980,ARKANSAS,AR,JIMMY CARTER,DEMOCRAT,398041
1980,ARKANSAS,AR,JOHN B. ANDERSON,INDEPENDENT,22468
1980,ARKANSAS,AR,EDWARD ED CLARK,LIBERTARIAN,8970
1980,ARKANSAS,AR,BARRY COMMONER,CITIZENS,2345
1980,ARKANSAS,AR,BENJAMIN BEN BUBAR,STATESMAN,1350
1980,ARKANSAS,AR,GUS HALL,COMMUNIST PARTY USE,1244
1980,CALIFORNIA,CA,RONALD REAGAN,REPUBLICAN,4522994
1980,CALIFORNIA,CA,JIMMY CARTER,DEMOCRAT,3082943
1980,CALIFORNIA,CA,JOHN B. ANDERSON,INDEPENDENT,739618
1980,CALIFORNIA,CA,EDWARD ED CLARK,LIBERTARIAN,148390
1980,CALIFORNIA,CA,BARRY COMMONER,CITIZENS,61046
1980,CALIFORNIA,CA,MAUREEN SMITH,PEACE & FREEDOM,18106
1980,CALIFORNIA,CA,JOHN RARICK,AMERICAN INDEPENDENT PARTY,9841
1980,COLORADO,CO,RONALD REAGAN,REPUBLICAN,652264
1980,COLORADO,CO,JIMMY CARTER,DEMOCRAT,368009
1980,COLORADO,CO,JOHN B. ANDERSON,NATIONAL UNITY CAMPAIGN,130633
1980,COLORADO,CO,EDWARD ED CLARK,LIBERTARIAN,25744
1980,COLORADO,CO,BARRY COMMONER,CITIZENS,5614
1980,COLORADO,CO,BENJAMIN BEN BUBAR,STATESMAN,1180
